idx, L,FW (um),V,PULL-IN,PULL-OUT
3,10,3,10,-1.0,-1.0
6,10,4,10,-1.0,-1.0
24,10,3,20,-1.0,-1.0
27,10,4,20,-1.0,-1.0
45,10,3,30,-1.0,-1.0
48,10,4,30,-1.0,-1.0
66,10,3,40,-1.0,-1.0
69,10,4,40,-1.0,-1.0
87,10,3,50,74.4,24.8
90,10,4,50,75.6,25.6
108,10,3,60,50.4,24.2
111,10,4,60,50.6,24.6
129,10,3,70,40.6,21.8
132,10,4,70,41.0,23.8
150,10,3,80,35.4,22.8
153,10,4,80,35.2,23.2
213,20,3,10,-1.0,-1.0
217,20,4,10,-1.0,-1.0
222,20,6,10,-1.0,-1.0
225,20,7,10,-1.0,-1.0
234,20,3,20,-1.0,-1.0
238,20,4,20,-1.0,-1.0
243,20,6,20,-1.0,-1.0
246,20,7,20,-1.0,-1.0
255,20,3,30,-1.0,-1.0
259,20,4,30,-1.0,-1.0
264,20,6,30,-1.0,-1.0
267,20,7,30,-1.0,-1.0
276,20,3,40,61.0,26.0
280,20,4,40,60.4,25.6
285,20,6,40,63.4,28.8
288,20,7,40,74.4,27.4
297,20,3,50,43.8,25.0
301,20,4,50,42.6,25.0
306,20,6,50,45.6,28.4
309,20,7,50,49.2,26.2
318,20,3,60,34.6,23.2
322,20,4,60,33.4,24.6
327,20,6,60,37.0,27.6
330,20,7,60,39.2,25.8
339,20,3,70,29.4,22.4
343,20,4,70,28.8,22.4
348,20,6,70,31.4,27.0
351,20,7,70,33.3,25.2
360,20,3,80,26.0,22.0
364,20,4,80,25.2,22.0
369,20,6,80,27.4,24.4
372,20,7,80,28.8,23.4
423,30,3,10,-1.0,-1.0
424,30,3,10,-1.0,-1.0
426,30,4,10,-1.0,-1.0
427,30,4,10,-1.0,-1.0
429,30,5,10,-1.0,-1.0
430,30,5,10,-1.0,-1.0
432,30,6,10,-1.0,-1.0
433,30,6,10,-1.0,-1.0
435,30,7,10,-1.0,-1.0
436,30,7,10,-1.0,-1.0
438,30,8,10,-1.0,-1.0
439,30,8,10,-1.0,-1.0
444,30,3,20,-1.0,-1.0
445,30,3,20,-1.0,-1.0
447,30,4,20,-1.0,-1.0
448,30,4,20,-1.0,-1.0
450,30,5,20,-1.0,-1.0
451,30,5,20,-1.0,-1.0
453,30,6,20,-1.0,-1.0
454,30,6,20,-1.0,-1.0
456,30,7,20,-1.0,-1.0
457,30,7,20,-1.0,-1.0
459,30,8,20,-1.0,-1.0
460,30,8,20,-1.0,-1.0
465,30,3,30,86.8,29.2
466,30,3,30,81.8,29.2
468,30,4,30,87.6,30.8
469,30,4,30,85.0,29.8
471,30,5,30,93.6,30.4
472,30,5,30,91.2,29.6
474,30,6,30,85.6,32.6
475,30,6,30,86.0,33.0
477,30,7,30,155.4,27.4
478,30,7,30,-1.0,-1.0
480,30,8,30,145.8,27.0
481,30,8,30,-1.0,-1.0
486,30,3,40,47.8,28.4
487,30,3,40,45.8,28.0
489,30,4,40,49.4,29.4
490,30,4,40,47.2,29.0
492,30,5,40,51.4,30.0
493,30,5,40,49.2,29.0
495,30,6,40,51.2,32.4
496,30,6,40,50.8,31.2
498,30,7,40,56.6,29.8
499,30,7,40,54.4,-1.0
501,30,8,40,57.2,30.8
502,30,8,40,55.6,29.6
507,30,3,50,35.8,27.2
508,30,3,50,34.0,27.0
510,30,4,50,37.2,28.2
511,30,4,50,35.6,27.0
513,30,5,50,38.4,29.4
514,30,5,50,36.8,28.2
516,30,6,50,39.0,31.6
517,30,6,50,38.4,30.6
519,30,7,50,41.6,28.2
520,30,7,50,39.8,-1.0
522,30,8,50,42.4,30.0
523,30,8,50,41.2,29.2
528,30,3,60,29.6,26.2
529,30,3,60,27.6,25.8
531,30,4,60,31.4,26.8
532,30,4,60,29.2,26.0
534,30,5,60,31.0,28.0
535,30,5,60,30.2,26.2
537,30,6,60,31.2,29.8
538,30,6,60,31.0,29.4
540,30,7,60,33.8,27.2
541,30,7,60,32.8,-1.0
543,30,8,60,34.2,29.0
544,30,8,60,33.6,28.4
549,30,3,70,25.2,24.0
550,30,3,70,24.6,24.2
552,30,4,70,26.6,25.8
553,30,4,70,24.8,26.0
555,30,5,70,26.8,27.2
556,30,5,70,26.2,25.2
558,30,6,70,27.7,28.0
559,30,6,70,26.6,27.2
561,30,7,70,28.6,26.4
562,30,7,70,27.2,-1.0
564,30,8,70,29.6,27.6
565,30,8,70,28.0,27.2
570,30,3,80,22.2,22.8
571,30,3,80,21.4,22.8
573,30,4,80,22.6,23.6
574,30,4,80,21.6,24.4
576,30,5,80,23.8,25.0
577,30,5,80,22.4,24.8
579,30,6,80,23.8,26.6
580,30,6,80,23.2,-1.0
582,30,7,80,25.2,24.8
583,30,7,80,23.6,-1.0
585,30,8,80,25.2,25.8
586,30,8,80,24.8,24.8
633,40,3,10,-1.0,-1.0
634,40,3,10,-1.0,-1.0
636,40,4,10,-1.0,-1.0
639,40,5,10,-1.0,-1.0
642,40,6,10,-1.0,-1.0
645,40,7,10,-1.0,-1.0
646,40,7,10,-1.0,-1.0
648,40,8,10,-1.0,-1.0
654,40,3,20,-1.0,-1.0
655,40,3,20,-1.0,-1.0
657,40,4,20,-1.0,-1.0
660,40,5,20,-1.0,-1.0
663,40,6,20,-1.0,-1.0
666,40,7,20,-1.0,-1.0
667,40,7,20,-1.0,-1.0
669,40,8,20,-1.0,-1.0
675,40,3,30,65.8,31.8
676,40,3,30,63.2,31.6
678,40,4,30,64.2,33.8
681,40,5,30,68.4,35.6
684,40,6,30,69.2,38.0
687,40,7,30,80.6,34.8
688,40,7,30,80.4,33.6
690,40,8,30,78.8,35.8
696,40,3,40,41.4,31.6
697,40,3,40,39.8,30.4
699,40,4,40,-1.0,32.6
702,40,5,40,43.6,33.6
705,40,6,40,45.6,36.4
708,40,7,40,47.8,34.2
709,40,7,40,47.6,33.2
711,40,8,40,48.6,35.0
717,40,3,50,32.6,30.0
718,40,3,50,30.8,28.8
720,40,4,50,-1.0,31.2
723,40,5,50,32.8,32.0
726,40,6,50,34.0,35.2
729,40,7,50,36.0,33.6
730,40,7,50,36.8,32.0
732,40,8,50,36.8,33.6
738,40,3,60,26.6,27.8
739,40,3,60,26.0,25.6
741,40,4,60,-1.0,30.2
744,40,5,60,28.4,31.2
747,40,6,60,29.2,32.0
750,40,7,60,29.2,32.2
751,40,7,60,30.0,30.4
753,40,8,60,29.8,32.4
759,40,3,70,23.2,24.6
760,40,3,70,22.4,23.6
762,40,4,70,23.2,28.6
765,40,5,70,24.0,30.4
768,40,6,70,23.6,32.0
771,40,7,70,25.0,30.4
772,40,7,70,25.6,28.4
774,40,8,70,26.4,29.6
780,40,3,80,20.2,21.8
781,40,3,80,18.8,22.0
783,40,4,80,20.0,24.6
786,40,5,80,20.8,27.6
789,40,6,80,21.6,29.2
792,40,7,80,22.0,-1.0
793,40,7,80,23.2,28.4
795,40,8,80,23.0,28.8
843,50,3,10,-1.0,-1.0
844,50,3,10,-1.0,-1.0
846,50,4,10,-1.0,-1.0
847,50,4,10,-1.0,-1.0
849,50,5,10,-1.0,-1.0
850,50,5,10,-1.0,-1.0
852,50,6,10,-1.0,-1.0
853,50,6,10,-1.0,-1.0
855,50,7,10,-1.0,-1.0
858,50,8,10,-1.0,-1.0
864,50,3,20,-1.0,-1.0
865,50,3,20,-1.0,-1.0
867,50,4,20,-1.0,-1.0
868,50,4,20,-1.0,-1.0
870,50,5,20,-1.0,-1.0
871,50,5,20,-1.0,-1.0
873,50,6,20,-1.0,-1.0
874,50,6,20,-1.0,-1.0
876,50,7,20,-1.0,-1.0
879,50,8,20,-1.0,-1.0
885,50,3,30,56.0,38.8
886,50,3,30,63.6,32.4
888,50,4,30,57.2,39.0
889,50,4,30,65.8,34.6
891,50,5,30,62.0,41.8
892,50,5,30,69.0,34.4
894,50,6,30,62.8,45.6
895,50,6,30,69.4,39.6
897,50,7,30,80.8,35.0
900,50,8,30,80.0,36.2
906,50,3,40,37.0,36.0
907,50,3,40,40.8,30.4
909,50,4,40,37.8,38.4
910,50,4,40,41.8,33.2
912,50,5,40,40.8,40.8
913,50,5,40,44.2,33.4
915,50,6,40,42.6,44.2
916,50,6,40,44.8,38.2
918,50,7,40,47.6,33.8
921,50,8,40,47.8,35.2
927,50,3,50,30.2,34.4
928,50,3,50,30.8,28.8
930,50,4,50,29.2,37.2
931,50,4,50,32.6,31.6
933,50,5,50,31.6,39.2
934,50,5,50,33.2,32.2
936,50,6,50,32.3,42.4
937,50,6,50,34.4,37.2
939,50,7,50,36.2,33.2
942,50,8,50,37.0,34.4
948,50,3,60,23.4,29.3
949,50,3,60,25.0,26.4
951,50,4,60,24.8,34.6
952,50,4,60,26.2,30.2
954,50,5,60,25.6,36.8
955,50,5,60,27.2,30.2
957,50,6,60,27.2,40.8
958,50,6,60,27.4,34.0
960,50,7,60,29.8,31.0
963,50,8,60,30.2,32.6
970,50,3,70,21.8,22.8
972,50,4,70,21.0,31.4
973,50,4,70,23.2,28.8
975,50,5,70,22.4,33.4
976,50,5,70,23.2,29.0
978,50,6,70,22.8,37.2
979,50,6,70,23.8,32.0
981,50,7,70,25.0,28.6
984,50,8,70,26.4,30.6
991,50,3,80,19.2,20.0
993,50,4,80,18.4,27.0
994,50,4,80,20.0,27.0
996,50,5,80,19.0,30.8
997,50,5,80,20.8,26.2
999,50,6,80,19.8,33.0
1000,50,6,80,22.2,29.2
1002,50,7,80,22.4,27.4
1005,50,8,80,23.4,28.2
1017,50,5,90,-1.0,-1.0
1038,50,5,100,13.8,-1.0
1053,60,3,10,-1.0,-1.0
1054,60,3,10,-1.0,-1.0
1056,60,4,10,-1.0,-1.0
1059,60,5,10,-1.0,-1.0
1060,60,5,10,-1.0,-1.0
1062,60,6,10,-1.0,-1.0
1063,60,6,10,-1.0,-1.0
1068,60,8,10,-1.0,-1.0
1069,60,8,10,-1.0,-1.0
1074,60,3,20,-1.0,-1.0
1075,60,3,20,-1.0,-1.0
1077,60,4,20,-1.0,-1.0
1080,60,5,20,-1.0,-1.0
1081,60,5,20,-1.0,-1.0
1083,60,6,20,-1.0,-1.0
1084,60,6,20,-1.0,-1.0
1089,60,8,20,-1.0,-1.0
1090,60,8,20,-1.0,-1.0
1095,60,3,30,49.6,47.0
1096,60,3,30,49.8,45.2
1098,60,4,30,54.2,46.6
1101,60,5,30,56.8,47.0
1102,60,5,30,57.0,45.4
1104,60,6,30,-1.0,53.2
1105,60,6,30,58.4,50.8
1110,60,8,30,65.2,46.4
1111,60,8,30,65.0,45.8
1116,60,3,40,34.0,44.2
1117,60,3,40,34.4,33.8
1119,60,4,40,36.6,45.6
1122,60,5,40,38.4,46.0
1123,60,5,40,39.0,44.0
1125,60,6,40,40.8,51.4
1126,60,6,40,39.2,50.2
1131,60,8,40,43.6,44.8
1132,60,8,40,43.0,44.0
1140,60,4,50,28.2,41.2
1143,60,5,50,29.8,43.8
1144,60,5,50,29.8,42.0
1146,60,6,50,30.6,49.8
1147,60,6,50,30.4,48.2
1152,60,8,50,34.2,44.0
1153,60,8,50,33.6,42.2
1161,60,4,60,23.6,39.0
1164,60,5,60,24.4,40.8
1165,60,5,60,24.6,39.8
1167,60,6,60,25.8,42.0
1168,60,6,60,25.8,45.0
1173,60,8,60,28.6,41.6
1174,60,8,60,27.2,39.6
1182,60,4,70,19.8,33.4
1185,60,5,70,21.0,37.8
1186,60,5,70,21.2,35.6
1188,60,6,70,22.0,39.6
1189,60,6,70,21.8,40.2
1194,60,8,70,24.2,38.2
1195,60,8,70,24.4,37.6
1206,60,5,80,18.8,32.4
1207,60,5,80,18.4,31.2
1209,60,6,80,19.6,39.6
1210,60,6,80,19.2,35.4
1215,60,8,80,18.8,35.2
1216,60,8,80,21.8,34.4
1263,70,3,10,-1.0,-1.0
1266,70,4,10,-1.0,-1.0
1269,70,5,10,-1.0,-1.0
1272,70,6,10,-1.0,-1.0
1275,70,7,10,-1.0,-1.0
1278,70,8,10,-1.0,-1.0
1284,70,3,20,215.2,47.8
